barcode,sku,image,image_file,name_fr,name_en,description_fr,description_en,quantity,collection,category,height,width,length,weight,price,Prix final,deal,pre-order,dimensions,position,import,,,,,,
10923451122,10923451122,,Meubles90.jpg,Coussin de tissu avec motifs,,Coussin de tissu vintage avec motifs,,5,fabric,cussions,16,16,6,2,40,,50,,IN,952,no,,,,,,
,,,,,,,,,,,,,,,,,,,,,no,,,,,,
1223450051,1223450051,,Meubles88.jpg,Tabouret pour pieds avec imprimé,,Tabouret pour pieds avec imprimé,,10,fabric,stools,12,40,40,5,110,,50,,CM,259,yes,,,,,,
10923450442,10923450442,,Meubles84.jpg,4 crochets sur planche de bateau recyclée,,"4 crochets sur planche de bateau recyclée. Disponible en 3, 4 et 5 crochets",,10,recycledboat,wallhooks,5,24,1.5,2,48,,50,,IN,420,no,,,,,,
10923450441,10923450441,,IMG_0041.jpg,3 crochets sur planche de bateau recyclée,,"3 crochets sur planche de bateau recyclée. Disponible en 3, 4 et 5 crochets",,10,recycledboat,wallhooks,5,18,1.5,2,40,,50,,IN,420,no,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,no,,,,,,
10923451020,10923451020,,Meubles79.jpg,Statue de Bouddha en pierre volcanique,,Statue de Bouddha en pierre volcanique. Importation d'Indonésie,,2,temple,statue,25,9,9,15,35,,30,,CM,392,yes,,,,,,
10923450994,10923450994,,Meubles78.jpg,Bol  décoratif en teck,,Bol  décoratif en teck. Importation d'Indonésie,,4,roots,decoration,6,16,12,6,110,,50,,IN,399,yes,,,,,,
,,,Meubles28.jpg,,,,,,,,,,,,,,,,,,no,,,,,,
,,,,,,,,,,,40,32,13,7,,,,,,,no,,,,,,
1123450280,1123450280,,Meubles30.jpg,Banc en acacia avec piétements de bois 66 po,,Banc en acacia avec piétements de bois 66 po,,2,roots,benches,18,16,66,125,936,,50,,IN,204,yes,Clair,,W78C,W78 LC,Largeur,PROFOND 66 et 78
1123450282,1123450282,,Meubles30.jpg,Banc en acacia avec piétements de bois 78 po,,Banc en acacia avec piétements de bois 78 po,,0,roots,benches,18,16,78,125,1000,,50,,IN,205,yes,Clair,,W78C,W78 LC,Largeur,PROFOND 66 et 78
,,,,,,,,,,,,,,,,,,,,,no,,,,,,
1123450189,,,,,IRON TABLE WITH WOOD TOP,,,,,,,,,,1090,,,,,,no,,,,,,
,,,,,,,,,,,,,,,,,,,,,no,,,,,,
10923451167,,,,,WOOD FLOORING 100*100,,,,,,,,,,288,,,,,,no,,,,,,
,,,,,,,,,,,,,,,,,,,,,no,,,,,,
,,,,,,,,,,,,,,,,,,,,,no,,,,,,
,,,,,,,,,,,,,,,,,,,,,no,,,,,,
,,,,,,,,,,,,,,,,,,,,,no,,,,,,
,,,,,,,,,,,,,,,,,,,,,no,,,,,,
