barcode,sku,image,image_file,name_fr,name_en,description_fr,description_en,quantity,collection,category,height,width,length,weight,price,Prix final,deal,pre-order,position,import,dimensions,,,,,,,
,TARAH,,36.jpg,Banc acacia,,Banc en acacia 2 pouces d'épaisseur. Couleur foncée. Piètement en bois. Importation de l'Inde.,,10,hobi,benches,168,48,41,80,250,,,,,,,,,,,,,
,FABL,,37.jpg,Banc en bois québécois,,Banc en chêne. Piètement en métal brut. Fabriqué au Québec.,,10,local,benches,168,48,36,80,250,,,,,,,,,,,,,
,TARAH1,,38.jpg,Table acacia,,Table en acacia. Couleur noisette. Piètement stainless. Importation de l'Inde.  Disponible en tailles et couleurs variées.,,10,hobi,tables,,,,,,,,,,,,,,,,,,
,ALEX2,,39.jpg,Lampe indonésienne sur pied,,Lampe sur pied indonésienne fabriquée en bois recyclé et textile. Vient avec 2 installations électriques.,,10,nature,floorlamps,50,40,27,,,,,,,,,,,,,,,
,ALEX INDO,,40.jpg,Lampe indonésienne sur pied en bois recyclé,,Lampe sur pied fabriquée en bois recyclé et textile. Importation d'Indonésie.,,10,nature,floorlamps,20,8,8,,,,,,,,IN,,,,,,,
H-6324,H-6324,,41.jpg,Chaise style Industriel,,Chaise fabriquée en bois de bateau recyclé et métal. Importation de l'Inde.,,0,industrialboat,chairs,96,44,40,15,240,,50,,301,no,CM,,,,,,,
,LOTUS ALEX1,,42.jpg,Grande lampe indonésienne sur pied,,Grande lampe sur pied indonésienne fabriquée en bois recyclé et textile. Vient avec 2 installations électriques.,,,nature,floorlamps,49,35,18,61,180,,,,,,,,,,,,,
10923450231,10923450231,,43.jpg,Tabouret industriel,,Tabouret chic fabriqué de cuir véritable et fer forgé. Hauteur fixe. Importation de l'Inde.,,2,industrialchic,stools,30,16,16,15,288,,50,,501,no,IN,,,30 pouces,16 pouces,16 pouces,7 kg,
1123450216,1123450216,,44.jpg,Table style industriel ajustable,,"Table style industriel ronde, dessus en métal, piètement en fonte. Ajustable (table à dîner ou bar). Disponible en grandeurs variées. Importation de l'Inde.",,1,industrialchic,tables,100,75,75,120,1200,,50,,102,no,IN,,,10923451064 - ,,,,
1123450238,FE10-2616,,45.jpg,Table basse sur roues,,"Table basse fabriquée en bois de bateau, métal brut et roues de chariot de mine recyclées. Disponible en différentes tailles. Importation de l'Inde.",,0,industrialchic,consoletables,28,44,20,100,950,,50,,151,no,IN,,,,,,,
